article_id,article_year,article_global_id,db_id,resource_name,status,debut_yr,total_articles,total_citations,db_last_update,quartile,access_confirmed,update_2018,primary_country,multi_sign,funder,host_code,host
2964,2016,10.1093/nar/gkv1081,MBDC0230,5S rRNA Data Bank (Erdmann),yes,1991,7,254,NA,3,yes,unknown,POL,multi,Adam Mickiewicz University,A,Adam Mickiewicz University
1654,2008,10.1093/nar/gkm998,MBDC0221,AAIndex: Amino Acid Index Database,yes,1999,3,748,2008,1,yes,unknown,JPN,multi,Ministry of Education Culture Sports Science and Technology of Japan; Japan Science and Technology Agency; Kyoto University; University of Tokyo,A,Kyoto University
598,2001,10.1093/nar/29.1.288,MBDC0156,AARSDB: Aminoacyl-tRNA Synthetase Data Bank,yes,1999,3,30,2003,4,yes,2003,POL,not_reported,not_reported,S,Institute of Bioorganic Chemistry Polish Academy of Sciences
2366,2012,10.1093/nar/gkr924,MBDC0119,ALFRED: Allele Frequency Database ,yes,2000,4,144,NA,3,yes,2016,USA,single,US National Science Foundation,A,Yale University
1684,2008,10.1093/nar/gkm959,MBDC0232,ARED: Adenylate uridylate-Rich Elements Database,yes,2001,4,711,2013,2,yes,2013,SAU,single,King Abdelaziz City for Science and Technology,G,King Faisal Specialist Hospital and Research Center
637,2001,10.1093/nar/29.1.106,MBDC0065,ARKdb,yes,2001,1,50,NA,3,yes,2017,GBR,single,UK Biotechnology and Biological Sciences Research Council,A,University of Edinburgh 
442,1999,10.1093/nar/27.1.79,NAR9024,AtDB: Arabidopsis thaliana Database,yes,1998,2,31,NA,4,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
2407,2013,10.1093/nar/gks1082,MBDC0122,Atlas of Genetics and Cytogenetics in Oncology and Haematology,yes,1999,5,121,2016,3,yes,unknown,FRA,multi,Association des Cytogeneticiens de Langue Francaise; Belgian Society of Human Genetics; Dutch Working Group of Tumor Cytogenetics; European Commission; French Ministry of Higher Education and Scientific Research; Poitiers University Foundation; French National League against Cancer; Cancer Cytogenomics Microarray Consortium US; Berufsverband Deutscher Humangenetiker,G,Institute of Scientific and Technical Information
524,2000,10.1093/nar/28.1.228,MBDC0203,Blocks database,yes,1996,5,497,2007,2,false_positive,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
2909,2015,10.1093/nar/gku947,MBDC0258,"CATH: Class, Architecture, Topology, Homology",yes,1999,10,1187,2017,2,yes,2018,GBR,multi,UK Biotechnology and Biological Sciences Research Council; Wellcome Trust; European Commission,A,University College London
498,2000,10.1093/nar/28.1.292,MBDC0030,CUTG: Codon Usage Tabulated from GenBank,yes,1991,7,1157,2007,1,yes,2007,JPN,multi,Ministry of Education Culture Sports Science and Technology of Japan; Kazusa DNA Research Institute Foundation,P,Kazusa DNA Research Institute
2620,2014,10.1093/nar/gkt1145,MBDC0068,CyanoBase,yes,1998,4,260,2012,2,yes,2015,JPN,multi,Ministry of Education Culture Sports Science and Technology of Japan; Japan Science and Technology Agency; Kazusa DNA Research Institute Foundation,P,Kazusa DNA Research Institute
362,1999,10.1093/nar/27.1.66,NAR9045,CyanoMutants,yes,1999,1,17,NA,3,false_positive,unknown,JPN,single,Kazusa DNA Research Institute Foundation,P,Kazusa DNA Research Institute
2795,2015,10.1093/nar/gku1240,MBDC0072,DB-AT: Database of Apicomplexan Transcriptomes,yes,2001,5,73,2014,4,yes,2017,JPN,multi,European Commission; Ministry of Education Culture Sports Science and Technology of Japan,A,University of Tokyo
1544,2008,10.1093/nar/gkm910,MBDC0031,DBTBS: Database of Transcription in B. subtilis,yes,2001,3,342,2008,2,yes,2008,JPN,multi,Japan Science and Technology Agency; Ministry of Education Culture Sports Science and Technology of Japan; University of Tokyo,A,University of Tokyo
3030,2016,10.1093/nar/gkv1105,MBDC0001,DDBJ: DNA Data Bank of Japan,yes,1997,19,586,2016,3,yes,2018,JPN,multi,Ministry of Education Culture Sports Science and Technology of Japan; Japan Science and Technology Agency,G,DDJB Center
933,2004,10.1093/nar/gkh086,MBDC0104,DIP: Database of Interacting Proteins,yes,2000,4,2825,2014,1,yes,2017,USA,multi,US National Institutes of Health; US Department of Energy,A,University of California Los Angeles
224,1997,10.1093/nar/25.1.274,NAR9055,Directory of P450-containing Systems,yes,1997,1,5,NA,4,yes,2004,ITA,not_reported,not_reported,G,International Centre for Genetic Engineering and Biotechnology
2443,2013,10.1093/nar/gks1027,MBDC0108,EcoCyc,yes,1996,10,1916,2016,1,yes,2017,USA,single,US National Institutes of Health,P,SRI International
2454,2013,10.1093/nar/gks1235,MBDC0069,EcoGene,yes,2000,2,258,NA,1,yes,unknown,USA,single,US National Institutes of Health,A,University of Miami
571,2001,10.1093/nar/29.1.55,MBDC0442,EMBL-EBI Dali,yes,1997,4,1184,NA,1,yes,2014,GBR,single,European Commission,G,European Molecular Biology Laboratory
3089,2016,10.1093/nar/gkv1311,MBDC0002,EMBL-EBI ENA: European Nucleotide Archive,yes,1991,23,1469,2017,2,yes,2018,GBR,multi,European Molecular Biology Laboratory; European Commission; UK Biotechnology and Biological Sciences Research Council,G,European Molecular Biology Laboratory
2829,2015,10.1093/nar/gku1243,MBDC0207,EMBL-EBI InterPro,yes,2001,7,3743,2017,1,yes,2018,GBR,multi,UK Biotechnology and Biological Sciences Research Council; European Molecular Biology Laboratory,G,European Molecular Biology Laboratory
